Symbol	Description	Chromosome	Aliases
CYP2F1	cytochrome P450 family 2 subfamily F member 1	19	C2F1, CYP2F, CYPIIF1
CYP2J2	cytochrome P450 family 2 subfamily J member 2	1	CPJ2, CYPIIJ2
CYP2R1	cytochrome P450 family 2 subfamily R member 1	11	
CYP2S1	cytochrome P450 family 2 subfamily S member 1	19	CYPIIS1
CYP2W1	cytochrome P450 family 2 subfamily W member 1	7	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	7	CP33, CP34, CYP3A, CYP3A3, CYPIIIA3, CYPIIIA4, HLP, NF-25, P450C3, P450PCN1
CYP3A43	cytochrome P450 family 3 subfamily A member 43	7	
CYP3A5	cytochrome P450 family 3 subfamily A member 5	7	CP35, CYPIIIA5, P450PCN3, PCN3
CYP3A7	cytochrome P450 family 3 subfamily A member 7	7	CP37, CYPIIIA7, P-450(HFL33), P-450111A7, P450-HFLA
CYP4B1	cytochrome P450 family 4 subfamily B member 1	1	CYPIVB1, P-450HP
CYP4F3	cytochrome P450 family 4 subfamily F member 3	19	CPF3, CYP4F, LTB4H
CYP4F8	cytochrome P450 family 4 subfamily F member 8	19	CPF8, CYPIVF8
CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	1	CYP4A20
CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	1	
CYP7A1	cytochrome P450 family 7 subfamily A member 1	8	CP7A, CYP7, CYPVII
CYP7B1	cytochrome P450 family 7 subfamily B member 1	8	CBAS3, CP7B, SPG5A
CYR61	cysteine rich angiogenic inducer 61	1	CCN1, GIG1, IGFBP10
CYS1	cystin 1	2	
CYSLTR1	cysteinyl leukotriene receptor 1	X	CYSLT1, CYSLT1R, CYSLTR, HMTMF81
CYSLTR2	cysteinyl leukotriene receptor 2	13	CYSLT2, CYSLT2R, GPCR21, HG57, HPN321, KPG_011, PSEC0146, hGPCR21
CYTH1	cytohesin 1	17	B2-1, CYTOHESIN-1, D17S811E, PSCD1, SEC7
CYTH2	cytohesin 2	19	ARNO, CTS18, CTS18.1, PSCD2, PSCD2L, SEC7L, Sec7p-L, Sec7p-like, cytohesin-2
CYTIP	cytohesin 1 interacting protein	2	B3-1, CASP, CYBR, CYTHIP, HE, PSCDBP
CYTOR	cytoskeleton regulator RNA	2	C2orf59, LINC00152, NCRNA00152
D2HGDH	D-2-hydroxyglutarate dehydrogenase	2	D2HGD
DAAM1	dishevelled associated activator of morphogenesis 1	14	
DAB2	DAB2, clathrin adaptor protein	5	DOC-2, DOC2
DAB2IP	DAB2 interacting protein	9	AF9Q34, AIP-1, AIP1, DIP1/2
DACH1	dachshund family transcription factor 1	13	DACH
DACOR1	DNMT1-associated colon cancer repressed lncRNA 1	15	LP2570, TCONS_00023265
DACT1	dishevelled binding antagonist of beta catenin 1	14	DAPPER, DAPPER1, DPR1, FRODO, HDPR1, TBS2, THYEX3
DACT2	dishevelled binding antagonist of beta catenin 2	6	C6orf116, DAPPER2, DPR2, bA503C24.7
DACT3	dishevelled binding antagonist of beta catenin 3	19	DAPPER3, RRR1
DAG1	dystroglycan 1	3	156DAG, A3a, AGRNR, DAG, MDDGA9, MDDGC7, MDDGC9
DANCR	differentiation antagonizing non-protein coding RNA	4	AGU2, ANCR, KIAA0114, SNHG13, lncRNA-ANCR
DAND5	DAN domain BMP antagonist family member 5	19	CER2, CERL2, CKTSF1B3, COCO, CRL2, DANTE, GREM3, SP1
DAP	death associated protein	5	
DAP3	death associated protein 3	1	DAP-3, MRP-S29, MRPS29, S29mt, bMRP-10
DAPK1	death associated protein kinase 1	9	DAPK, ROCO3
DAPK2	death associated protein kinase 2	15	DRP-1, DRP1
DAPK3	death associated protein kinase 3	19	DLK, ZIP, ZIPK
DAXX	death domain associated protein	6	BING2, DAP6, EAP1
DAZL	deleted in azoospermia like	3	DAZH1, DAZLA, SPGYLA, DAZL
DBF4	DBF4 zinc finger	7	ASK, CHIFA, ZDBF1, DBF4
DBH	dopamine beta-hydroxylase	9	DBM
DBI	diazepam binding inhibitor, acyl-CoA binding protein	2	ACBD1, ACBP, CCK-RP, EP
DBIL5P	diazepam binding inhibitor-like 5, pseudogene	17	ELP2P
DBN1	drebrin 1	5	D0S117E
DBNL	drebrin like	7	ABP1, HIP-55, HIP55, SH3P7
DBP	D-box binding PAR bZIP transcription factor	19	DABP
DCAF1	DDB1 and CUL4 associated factor 1	3	RIP, VPRBP
DCAF12	DDB1 and CUL4 associated factor 12	9	CT102, KIAA1892, TCC52, WDR40A
DCAF4	DDB1 and CUL4 associated factor 4	14	WDR21, WDR21A
DCAF6	DDB1 and CUL4 associated factor 6	1	1200006M05Rik, ARCAP, IQWD1, MSTP055, NRIP, PC326
DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	X	WDR42B
DCBLD1	discoidin, CUB and LCCL domain containing 1	6	dJ94G16.1
DCBLD2	discoidin, CUB and LCCL domain containing 2	3	CLCP1, ESDN
DCC	DCC netrin 1 receptor	18	CRC18, CRCR1, HGPPS2, IGDCC1, MRMV1, NTN1R1
DCD	dermcidin	12	AIDD-1, DSEP, HCAP, PIF, DCD
DCDC2	doublecortin domain containing 2	6	DCDC2A, DFNB66, NPHP19, NSC, RU2, RU2S
DCK	deoxycytidine kinase	4	
DCLK1	doublecortin like kinase 1	13	CL1, CLICK1, DCAMKL1, DCDC3A, DCLK
DCLRE1B	DNA cross-link repair 1B	1	APOLLO, SNM1B, SNMIB
DCN	decorin	12	CSCD, DSPG2, PG40, PGII, PGS2, SLRR1B
DCP1B	decapping mRNA 1B	12	DCP1
DCST1	DC-STAMP domain containing 1	1	
DCST1-AS1	DCST1 antisense RNA 1	1	
DCST2	DC-STAMP domain containing 2	1	
DCSTAMP	dendrocyte expressed seven transmembrane protein	8	FIND, TM7SF4, hDC-STAMP
DCXR	dicarbonyl and L-xylulose reductase	17	DCR, HCR2, HCRII, KIDCR, P34H, PNTSU, SDR20C1, XR
DDB1	damage specific DNA binding protein 1	11	DDBA, UV-DDB1, XAP1, XPCE, XPE, XPE-BF
DDB2	damage specific DNA binding protein 2	11	DDBB, UV-DDB2, XPE
DDC	dopa decarboxylase	7	AADC
DDHD1	DDHD domain containing 1	14	PA-PLA1, PAPLA1, SPG28
DDHD2	DDHD domain containing 2	8	SAMWD1, SPG54, iPLA(1)gamma
DDIAS	DNA damage induced apoptosis suppressor	11	C11orf82, noxin
DDIT3	DNA damage inducible transcript 3	12	C/EBPzeta, CEBPZ, CHOP, CHOP-10, CHOP10, GADD153
DDIT4	DNA damage inducible transcript 4	10	Dig2, REDD-1, REDD1
DDR1	discoidin domain receptor tyrosine kinase 1	6	CAK, CD167, DDR, EDDR1, HGK2, MCK10, NEP, NTRK4, PTK3, PTK3A, RTK6, TRKE
DDR2	discoidin domain receptor tyrosine kinase 2	1	MIG20a, NTRKR3, TKT, TYRO10
DDT	D-dopachrome tautomerase	22	DDCT
DDX1	DEAD-box helicase 1	2	DBP-RB, UKVH5d
DDX10	DEAD-box helicase 10	11	Dbp4, HRH-J8
DDX17	DEAD-box helicase 17	22	P72, RH70
DDX20	DEAD-box helicase 20	1	DP103, GEMIN3
DDX21	DExD-box helicase 21	10	GUA, GURDB, RH-II/GU, RH-II/GuA
DDX27	DEAD-box helicase 27	20	DRS1, Drs1p, HSPC259, PP3241, RHLP, dJ686N3.1
DDX39A	DExD-box helicase 39A	19	BAT1, BAT1L, DDX39, DDXL, URH49
DDX3X	DEAD-box helicase 3, X-linked	X	CAP-Rf, DBX, DDX14, DDX3, HLP2, MRX102
DDX4	DEAD-box helicase 4	5	VASA
DDX43	DEAD-box helicase 43	6	CT13, HAGE
DDX46	DEAD-box helicase 46	5	PRPF5, Prp5
DDX5	DEAD-box helicase 5	17	G17P1, HLR1, HUMP68, p68
DDX52	DExD-box helicase 52	17	HUSSY19, ROK1
DDX53	DEAD-box helicase 53	X	CAGE, CT26
DDX58	DExD/H-box helicase 58	9	RIG-I, RIGI, RLR-1, SGMRT2
DDX59	DEAD-box helicase 59	1	OFD5, ZNHIT5
DDX6	DEAD-box helicase 6	11	HLR2, P54, RCK
DEC1	deleted in esophageal cancer 1	9	CTS9
DEDD	death effector domain containing	1	CASP8IP11, DEFT, FLDED1, KE05, DEDD
DEFA1	defensin alpha 1	8	DEF1, DEFA2, HNP-1, HP-1, HP1, MRS
DEFA3	defensin alpha 3	8	DEF3, HNP-3, HNP3, HP-3, HP3
DEFA5	defensin alpha 5	8	DEF5, HD-5
DEFA6	defensin alpha 6	8	DEF6, HD-6
DEFB1	defensin beta 1	8	BD1, DEFB-101, HBD1, DEFB1
DEFB103B	defensin beta 103B	8	BD-3, DEFB-3, DEFB103, DEFB3, HBD-3, HBD3, HBP-3, HBP3
DEFB104A	defensin beta 104A	8	BD-4, DEFB-4, DEFB104, DEFB4, hBD-4
DEFB4A	defensin beta 4A	8	BD-2, DEFB-2, DEFB102, DEFB2, DEFB4, HBD-2, SAP1
DEGS1	delta 4-desaturase, sphingolipid 1	1	DEGS, DEGS-1, DES1, Des-1, FADS7, MIG15, MLD
DEK	DEK proto-oncogene	6	D6S231E
DENND1A	DENN domain containing 1A	9	FAM31A, KIAA1608
DENND2D	DENN domain containing 2D	1	
DEPDC1	DEP domain containing 1	1	DEP.8-V2, DEPDC1A, SDP35, DEPDC1
DEPDC1B	DEP domain containing 1B	5	BRCC3, XTP1
DEPP1	DEPP1, autophagy regulator	10	C10orf10, DEPP, FIG, Fseg
DEPTOR	DEP domain containing MTOR interacting protein	8	DEP.6, DEPDC6
DERL1	derlin 1	8	DER-1, DER1, derlin-1
DES	desmin	2	CDCD3, CMD1F, CSM1, CSM2, LGMD1D, LGMD1E, LGMD2R
DESI2	desumoylating isopeptidase 2	1	C1orf121, CGI-146, DESI, DESI1, DeSI-2, FAM152A, PNAS-4, PPPDE1
DEXI	Dexi homolog	16	MYLE
DFFA	DNA fragmentation factor subunit alpha	1	DFF-45, DFF1, ICAD
DFFB	DNA fragmentation factor subunit beta	1	CAD, CPAN, DFF-40, DFF2, DFF40
DGAT2	diacylglycerol O-acyltransferase 2	11	ARAT, GS1999FULL, HMFN1045
DGCR6L	DiGeorge syndrome critical region gene 6 like	22	DGCR6
DGCR8	DGCR8, microprocessor complex subunit	22	C22orf12, DGCRK6, Gy1, pasha
DGKA	diacylglycerol kinase alpha	12	DAGK, DAGK1, DGK-alpha
DGKG	diacylglycerol kinase gamma	3	DAGK3, DGK-GAMMA
DGKZ	diacylglycerol kinase zeta	11	DAGK5, DAGK6, DGK-ZETA, hDGKzeta
DHCR24	24-dehydrocholesterol reductase	1	DCE, Nbla03646, SELADIN1, seladin-1
DHCR7	7-dehydrocholesterol reductase	11	SLOS
DHDH	dihydrodiol dehydrogenase	19	2DD, HUM2DD
DHFR	dihydrofolate reductase	5	DHFRP1, DYR
DHODH	dihydroorotate dehydrogenase (quinone)	16	DHOdehase, POADS, URA1
DHRS2	dehydrogenase/reductase 2	14	HEP27, SDR25C1
DHRS9	dehydrogenase/reductase 9	2	3-alpha-HSD, 3ALPHA-HSD, RDH-E2, RDH-TBE, RDH15, RDHL, RDHTBE, RETSDR8, SDR9C4
DHX29	DExH-box helicase 29	5	DDX29
DHX32	DEAH-box helicase 32 (putative)	10	DDX32, DHLP1
DHX35	DEAH-box helicase 35	20	C20orf15, DDX35, KAIA0875
DHX9	DExH-box helicase 9	1	DDX9, LKP, NDH2, NDHII, RHA
DIABLO	diablo IAP-binding mitochondrial protein	12	DFNA64, SMAC
DIAPH1	diaphanous related formin 1	5	DFNA1, DIA1, DRF1, LFHL1, SCBMS, hDIA1
DIAPH3	diaphanous related formin 3	13	AN, AUNA1, DIA2, DRF3, NSDAN, diap3, mDia2
DICER1	dicer 1, ribonuclease III	14	DCR1, Dicer, Dicer1e, HERNA, K12H4.8-LIKE, MNG1, RMSE2
DIO1	iodothyronine deiodinase 1	1	5DI, TXDI1
DIO3	iodothyronine deiodinase 3	14	5DIII, D3, DIOIII, TXDI3
DIP2B	disco interacting protein 2 homolog B	12	
DIRAS3	DIRAS family GTPase 3	1	ARHI, NOEY2
DIRC1	disrupted in renal carcinoma 1	2	
DIRC2	disrupted in renal carcinoma 2	3	RCC4
DIRC3	disrupted in renal carcinoma 3	2	
DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	13	2810028N01Rik, EXOSC11, KIAA1008, RRP44, dis3p
DIXDC1	DIX domain containing 1	11	CCD1
DKC1	dyskerin pseudouridine synthase 1	X	CBF5, DKC, DKCX, NAP57, NOLA4, XAP101
DKK1	dickkopf WNT signaling pathway inhibitor 1	10	DKK-1, SK
DKK2	dickkopf WNT signaling pathway inhibitor 2	4	DKK-2
DKK3	dickkopf WNT signaling pathway inhibitor 3	11	REIC, RIG
DKK4	dickkopf WNT signaling pathway inhibitor 4	8	DKK-4
DKKL1	dickkopf like acrosomal protein 1	19	CT34, SGY, SGY-1, SGY1
DLC1	DLC1 Rho GTPase activating protein	8	ARHGAP7, HP, STARD12, p122-RhoGAP
DLD	dihydrolipoamide dehydrogenase	7	DLDDH, E3, GCSL, LAD, PHE3, DLD
DLEC1	deleted in lung and esophageal cancer 1	3	CFAP81, DLC-1, DLC1, F56
DLEC1P1	deleted in lung and esophageal cancer 1 pseudogene 1	3	
DLG1	discs large MAGUK scaffold protein 1	3	DLGH1, SAP-97, SAP97, dJ1061C18.1.1, hdlg
DLG3	discs large MAGUK scaffold protein 3	X	MRX, MRX90, NEDLG, PPP1R82, SAP102, XLMR
DLG5	discs large MAGUK scaffold protein 5	10	LP-DLG, P-DLG5, PDLG
DLGAP2	DLG associated protein 2	8	C8orf68, DAP2, ERICH1-AS1, SAPAP2
DLGAP2	DLG associated protein 2	8	C8orf68, DAP2, ERICH1-AS1, SAPAP2
DLGAP5	DLG associated protein 5	14	DLG7, HURP
DLK1	delta like non-canonical Notch ligand 1	14	DLK, DLK-1, Delta1, FA1, PREF1, Pref-1, ZOG, pG2
DLL1	delta like canonical Notch ligand 1	6	DELTA1, DL1, Delta
DLL3	delta like canonical Notch ligand 3	19	SCDO1
DLL4	delta like canonical Notch ligand 4	15	AOS6, hdelta2
DLST	dihydrolipoamide S-succinyltransferase	14	DLTS
DLX1	distal-less homeobox 1	2	
DLX2	distal-less homeobox 2	2	TES-1, TES1
DLX4	distal-less homeobox 4	17	BP1, DLX7, DLX8, DLX9, OFC15
DLX5	distal-less homeobox 5	7	SHFM1D
DMAC2	distal membrane arm assembly complex 2	19	ATP5SL
DMAP1	DNA methyltransferase 1 associated protein 1	1	DNMAP1, DNMTAP1, EAF2, MEAF2, SWC4
DMBT1	deleted in malignant brain tumors 1	10	GP340, SAG, SALSA, muclin
DMD	dystrophin	X	BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85
DMKN	dermokine	19	UNQ729, ZD52F10
DMP1	dentin matrix acidic phosphoprotein 1	4	ARHP, ARHR, DMP-1
DMRT1	doublesex and mab-3 related transcription factor 1	9	CT154, DMT1
DMTF1	cyclin D binding myb like transcription factor 1	7	DMP1, DMTF, MRUL, hDMP1
DMTN	dematin actin binding protein	8	DMT, EPB49
DMXL2	Dmx like 2	15	DFNA71, PEPNS, RC3
DNA2	DNA replication helicase/nuclease 2	10	DNA2L, hDNA2
DNAAF4	dynein axonemal assembly factor 4	15	CILD25, DYX1, DYX1C1, DYXC1, EKN1, RD
DNAH12	dynein axonemal heavy chain 12	3	DHC3, DLP12, DLP3L, DNAH7L, DNAHC12, DNAHC3, DNHD2, HDHC3, HL-19, HL19, DNAH12
DNAH5	dynein axonemal heavy chain 5	5	CILD3, DNAHC5, HL1, KTGNR, PCD
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	9	DJ-2, DjA1, HDJ2, HSDJ, HSJ-2, HSJ2, HSPF4, NEDD7, hDJ-2
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	16	HCA57, TID1, hTID-1
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	19	HSPF1, Hdj1, Hsp40, RSPH16B, Sis1
DNAJB1P1	DnaJ heat shock protein family (Hsp40) member B1 pseudogene 1	2	DNAJB1P, HSP40, psiHSP40
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	1	DNAJW, DjB4, HLJ1
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	7	DJ4, DnaJ, HHDJ1, HSJ-2, HSJ2, LGMD1D, LGMD1E, MRJ, MSJ-1
DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	3	CT156, DJ6
DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	10	DNAJL1, ERdj1, HTJ1, MTJ1
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	10	HPANBH4, JDP1
DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	3	PARK21, RME8
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	13	DNAJD1, HSD18, MCJ
DNAJC21	DnaJ heat shock protein family (Hsp40) member C21	5	BMFS3, DNAJA5, GS3, JJJ1
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	20	CLN4, CLN4B, CSPA, NCL, mir-941-2, mir-941-3, mir-941-4, mir-941-5, DNAJC5
DNASE1	deoxyribonuclease 1	16	DNL1, DRNI
DNM1	dynamin 1	9	DNM, EIEE31
DNM1L	dynamin 1 like	12	DLP1, DRP1, DVLP, DYMPLE, EMPF, EMPF1, HDYNIV, OPA5
DNM2	dynamin 2	19	CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII, LCCS5
DNM3	dynamin 3	1	Dyna III
DNMT1	DNA methyltransferase 1	19	ADCADN, AIM, CXXC9, DNMT, HSN1E, MCMT, m.HsaI
DNMT3A	DNA methyltransferase 3 alpha	2	DNMT3A2, M.HsaIIIA, TBRS
DNMT3AP1	DNA methyltransferase 3A pseudogene 1	2	
DNMT3B	DNA methyltransferase 3 beta	20	ICF, ICF1, M.HsaIIIB
DNMT3L	DNA methyltransferase 3 like	21	
DNPEP	aspartyl aminopeptidase	2	ASPEP, DAP
DNTT	DNA nucleotidylexotransferase	10	TDT
DOCK1	dedicator of cytokinesis 1	10	DOCK180, ced5
DOCK2	dedicator of cytokinesis 2	5	IMD40
DOCK4	dedicator of cytokinesis 4	7	
DOHH	deoxyhypusine hydroxylase	19	HLRC1, hDOHH
DOK1	docking protein 1	2	P62DOK, pp62
DOK2	docking protein 2	8	p56DOK, p56dok-2
DOK3	docking protein 3	5	DOKL
DOK4	docking protein 4	16	IRS-5, IRS5
DOK7	docking protein 7	4	C4orf25, CMS10, CMS1B
DOPEY1	dopey family member 1	6	DOP1, KIAA1117, dJ202D23.2
DOT1L	DOT1 like histone lysine methyltransferase	19	DOT1, KMT4
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	11	ALG7, CDG-Ij, CDG1J, CMS13, CMSTA2, D11S366, DGPT, DPAGT, DPAGT2, G1PT, GPT, UAGT, UGAT
DPEP1	dipeptidase 1	16	MBD1, MDP, RDP
DPF2	double PHD fingers 2	11	REQ, UBID4, ubi-d4
DPH1	diphthamide biosynthesis 1	17	DEDSSH, DPH2L, DPH2L1, OVCA1
DPM3	dolichyl-phosphate mannosyltransferase subunit 3	1	CDG1O
DPP4	dipeptidyl peptidase 4	2	ADABP, ADCP2, CD26, DPPIV, TP103
DPP6	dipeptidyl peptidase like 6	7	DPL1, DPPX, MRD33, VF2
DPP9	dipeptidyl peptidase 9	19	DP9, DPLP9, DPRP-2, DPRP2
DPPA2	developmental pluripotency associated 2	3	CT100, ECAT15-2, PESCRG1
DPY30	dpy-30, histone methyltransferase complex regulatory subunit	2	Cps25, HDPY-30, Saf19
DPYD	dihydropyrimidine dehydrogenase	1	DHP, DHPDHASE, DPD
DPYS	dihydropyrimidinase	8	DHP, DHPase
DPYSL2	dihydropyrimidinase like 2	8	CRMP-2, CRMP2, DHPRP2, DRP-2, DRP2, N2A3, ULIP-2, ULIP2
DPYSL3	dihydropyrimidinase like 3	5	CRMP-4, CRMP4, DRP-3, DRP3, LCRMP, ULIP, ULIP-1
DPYSL5	dihydropyrimidinase like 5	2	CRAM, CRMP-5, CRMP5, Ulip6
DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration	15	
DRAM1	DNA damage regulated autophagy modulator 1	12	DRAM
DRD1	dopamine receptor D1	5	DADRA, DRD1
DRD2	dopamine receptor D2	11	D2DR, D2R
DRD3	dopamine receptor D3	3	D3DR, ETM1, FET1
DRD4	dopamine receptor D4	11	D4DR
DRD5	dopamine receptor D5	4	DBDR, DRD1B, DRD1L2
DRG1	developmentally regulated GTP binding protein 1	22	NEDD3
DRG2	developmentally regulated GTP binding protein 2	17	
DROSHA	drosha ribonuclease III	5	ETOHI2, HSA242976, RANSE3L, RN3, RNASE3L, RNASEN
DSC1	desmocollin 1	18	CDHF1, DG2/DG3
DSC2	desmocollin 2	18	ARVD11, CDHF2, DG2, DGII/III, DSC3
DSC3	desmocollin 3	18	CDHF3, DSC, DSC1, DSC2, DSC4, HT-CP
DSCAM	DS cell adhesion molecule	21	CHD2, CHD2-42, CHD2-52
DSCC1	DNA replication and sister chromatid cohesion 1	8	DCC1
DSCR8	Down syndrome critical region 8 (non-protein coding)	21	C21orf65, CT25.1a, CT25.1b, MMA-1, MMA-1a, MMA-1b, MMA1, MTAG2
DSE	dermatan sulfate epimerase	6	DS-epi1P, DSEPI, EDSMC2, SART-2, SART2, DSE
DSG2	desmoglein 2	18	CDHF5, HDGC
DSG3	desmoglein 3	18	CDHF6, PVA
DSP	desmoplakin	6	DCWHKTA, DP
DSPP	dentin sialophosphoprotein	4	DFNA39, DGI1, DMP3, DPP, DSP
DSTN	destrin, actin depolymerizing factor	20	ACTDP, ADF, HEL32, bA462D18.2
DTL	denticleless E3 ubiquitin protein ligase homolog	1	CDT2, DCAF2, L2DTL, RAMP
DTX3L	deltex E3 ubiquitin ligase 3L	3	BBAP, RNF143
DTYMK	deoxythymidylate kinase	2	CDC8, PP3731, TMPK, TYMK
DUOX1	dual oxidase 1	15	LNOX1, NOXEF1, THOX1
DUOX2	dual oxidase 2	15	LNOX2, NOXEF2, P138-TOX, TDH6, THOX2
DUOXA2	dual oxidase maturation factor 2	15	SIMNIPHOM, TDH5
DUS2	dihydrouridine synthase 2	16	DUS2L, SMM1, URLC8
DUSP1	dual specificity phosphatase 1	5	CL100, HVH1, MKP-1, MKP1, PTPN10
DUSP10	dual specificity phosphatase 10	1	MKP-5, MKP5
DUSP14	dual specificity phosphatase 14	17	MKP-L, MKP6
DUSP2	dual specificity phosphatase 2	2	PAC-1, PAC1
DUSP22	dual specificity phosphatase 22	6	JKAP, JSP-1, JSP1, LMW-DSP2, LMWDSP2, MKP-x, MKPX, VHX
DUSP23	dual specificity phosphatase 23	1	DUSP25, LDP-3, MOSP, VHZ
DUSP26	dual specificity phosphatase 26	8	DSP-4, DUSP24, LDP-4, MKP-8, MKP8, NATA1, NEAP, SKRP3
DUSP28	dual specificity phosphatase 28	2	DUSP26, VHP
DUSP3	dual specificity phosphatase 3	17	VHR
DUSP4	dual specificity phosphatase 4	8	HVH2, MKP-2, MKP2, TYP
DUSP5	dual specificity phosphatase 5	10	DUSP, HVH3
DUSP6	dual specificity phosphatase 6	12	HH19, MKP3, PYST1
DUSP7	dual specificity phosphatase 7	3	MKPX, PYST2
DUSP9	dual specificity phosphatase 9	X	MKP-4, MKP4
DUT	deoxyuridine triphosphatase	15	dUTPase
DVL1	dishevelled segment polarity protein 1	1	DRS2, DVLL1, DVL1P1, DVL1
DVL2	dishevelled segment polarity protein 2	17	
DVL3	dishevelled segment polarity protein 3	3	DRS3
DYNAP	dynactin associated protein	18	C18orf26
DYNC2H1	dynein cytoplasmic 2 heavy chain 1	11	ATD3, DHC1b, DHC2, DNCH2, DYH1B, SRPS2B, SRTD3, hdhc11
DYNLL1	dynein light chain LC8-type 1	12	DLC1, DLC8, DNCL1, DNCLC1, LC8, LC8a, PIN, hdlc1
DYNLRB2	dynein light chain roadblock-type 2	16	DNCL2B, DNLC2B, ROBLD2
DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B	19	AOMS3, MIRK
DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	12	
E2F1	E2F transcription factor 1	20	E2F-1, RBAP1, RBBP3, RBP3
E2F2	E2F transcription factor 2	1	E2F-2
E2F3	E2F transcription factor 3	6	E2F-3
E2F4	E2F transcription factor 4	16	E2F-4
E2F5	E2F transcription factor 5	8	E2F-5
E2F6	E2F transcription factor 6	2	E2F-6
E2F7	E2F transcription factor 7	12	
E2F8	E2F transcription factor 8	11	E2F-8
EAF2	ELL associated factor 2	3	BM040, TRAITS, U19
EBAG9	estrogen receptor binding site associated, antigen, 9	8	EB9, PDAF
EBF1	early B cell factor 1	5	COE1, EBF, O/E-1, OLF1
EBF2	early B cell factor 2	8	COE2, EBF-2, O/E-3, OE-3
EBI3	Epstein-Barr virus induced 3	19	IL-27B, IL27B, IL35B
EBNA1BP2	EBNA1 binding protein 2	1	EBP2, NOBP, P40
ECD	ecdysoneless cell cycle regulator	10	GCR2, HSGT1, SGT1
ECE1	endothelin converting enzyme 1	1	ECE
ECHDC1	ethylmalonyl-CoA decarboxylase 1	6	HEL-S-76, MMCD, dJ351K20.2
ECHS1	enoyl-CoA hydratase, short chain 1	10	ECHS1D, SCEH
ECM1	extracellular matrix protein 1	1	URBWD
ECT2	epithelial cell transforming 2	3	ARHGEF31
EDIL3	EGF like repeats and discoidin domains 3	5	DEL1
EDN1	endothelin 1	6	ARCND3, ET1, HDLCQ7, PPET1, QME
EDN2	endothelin 2	1	ET-2, ET2, PPET2
EDN3	endothelin 3	20	ET-3, ET3, HSCR4, PPET3, WS4B
EDNRA	endothelin receptor type A	4	ET-A, ETA, ETA-R, ETAR, ETRA, MFDA, hET-AR
EDNRB	endothelin receptor type B	13	ABCDS, ET-B, ET-BR, ETB, ETB1, ETBR, ETRB, HSCR, HSCR2, WS4A
EED	embryonic ectoderm development	11	COGIS, HEED, WAIT1
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	6	CCS-3, CCS3, EE1A1, EEF-1, EEF1A, EF-Tu, EF1A, GRAF-1EF, HNGC:16303, LENG7, PTI1, eEF1A-1
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	20	EEF1AL, EF-1-alpha-2, EF1A, EIEE33, HS1, MRD38, STN, STNL
EEF1D	eukaryotic translation elongation factor 1 delta	8	EF-1D, EF1D, FP1047
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	6	AIMP3, P18
EEF2	eukaryotic translation elongation factor 2	19	EEF-2, EF-2, EF2, SCA26
EEF2K	eukaryotic elongation factor 2 kinase	16	HSU93850, eEF-2K
EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific	3	EFSEC, SELB
EFEMP1	EGF containing fibulin extracellular matrix protein 1	2	DHRD, DRAD, FBLN3, FBNL, FIBL-3, MLVT, MTLV, S1-5
EFEMP2	EGF containing fibulin extracellular matrix protein 2	11	ARCL1B, FBLN4, MBP1, UPH1
EFNA1	ephrin A1	1	B61, ECKLG, EFL1, EPLG1, LERK-1, LERK1, TNFAIP4
EFNA2	ephrin A2	19	ELF-1, EPLG6, HEK7-L, LERK-6, LERK6
EFNA3	ephrin A3	1	EFL2, EPLG3, Ehk1-L, LERK3
EFNA4	ephrin A4	1	EFL4, EPLG4, LERK4
EFNB1	ephrin B1	X	CFND, CFNS, EFB1, EFL3, EPLG2, Elk-L, LERK2
EFNB2	ephrin B2	13	EPLG5, HTKL, Htk-L, LERK5
EFNB3	ephrin B3	17	EFL6, EPLG8, LERK8
EFS	embryonal Fyn-associated substrate	14	CAS3, CASS31, EFS2, HEFS, SIN, EFS
